word,sentence,audio_path,source,license,status
ќе,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
низ,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,Ќе одиш низ ледени пространства и градови претрупани со луѓе.,common_voice_mk_39651077.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
сме,"Благодарение на историското наследство, ние сме сиромашен народ.",common_voice_mk_39651078.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,Те сакам со сето мое срце.,common_voice_mk_39651080.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
сите,Сите тие беа различните лица на еден ист човек.,common_voice_mk_39663697.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
тоа,"Тоа е сѐ и нишо друго, брат.",common_voice_mk_39663700.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ќе,"Економијата тоне, дупката во буџетот ќе биде огромна",common_voice_mk_39663719.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Обиди се да не мрдаш.,common_voice_mk_39663722.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ќе,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,Кога ќе станеме ќе ги земеме велосипедите и ќе одиме на излет.,common_voice_mk_39663758.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,За малку не припаднав од таа глетка.,common_voice_mk_39663760.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
го,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
што,Не знаев што е и пробав внимателно да го допрам разболеното место.,common_voice_mk_39663761.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
повеќе,Не можам да трпам повеќе - рече задишано.,common_voice_mk_39663780.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
како,Кај нас се пишува како кога се ждере.,common_voice_mk_39663781.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
се,Кај нас се пишува како кога се ждере.,common_voice_mk_39663781.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
албумот,Во подоцнежните изданија на албумот прстот е намерно замаглен.,common_voice_mk_39663782.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
си,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
бил,"Си бил еднаш еден цар, многу млад и многу стар.",common_voice_mk_39663798.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
со,Остава богат бакшиш и со несигурен чекор заминува.,common_voice_mk_39663799.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
за,Тимот за итни случаи пристигна брзо.,common_voice_mk_39663800.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
песни,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
сега,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ја,Сега моите песни ја бараат мојата глава.,common_voice_mk_39663801.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ќе,"Откако власта ќе констатира вишок, таа пристапува кон дезинфицирање на домот.",common_voice_mk_39663802.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
ги,Има во тој нотес партии што тој ги играл.,common_voice_mk_39663822.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
што,Има во тој нотес партии што тој ги играл.,common_voice_mk_39663822.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
го,Нејзината насмевка ми го освои срцето.,common_voice_mk_39663823.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
нејзината,Нејзината насмевка ми го освои срцето.,common_voice_mk_39663823.mp3,Common Voice 17.0 MK,CC-0,needs_alignment
