word,confidence,duration,sentence,source,license,status
низ,0.760,0.221,Погледни низ прозор.,Common Voice 17.0 MK,CC-0,extracted
со,0.990,0.161,Со тебе сум сега.,Common Voice 17.0 MK,CC-0,extracted
сме,1.000,0.200,Не мислам дека сме подраниле.,Common Voice 17.0 MK,CC-0,extracted
сите,0.842,0.322,Ме срамиш пред сите.,Common Voice 17.0 MK,CC-0,extracted
тоа,0.774,0.282,Тоа е нов трик.,Common Voice 17.0 MK,CC-0,extracted
се,0.923,0.161,Почна да се смее.,Common Voice 17.0 MK,CC-0,extracted
ги,0.957,0.160,Дај ми ги парите.,Common Voice 17.0 MK,CC-0,extracted
го,0.999,0.140,Не го чуствувам телото.,Common Voice 17.0 MK,CC-0,extracted
што,0.840,0.241,Знам што мислиш за мене.,Common Voice 17.0 MK,CC-0,extracted
повеќе,0.812,0.442,Мислам дека има повеќе.,Common Voice 17.0 MK,CC-0,extracted
како,0.996,0.301,Слушнав како влегуваат возила.,Common Voice 17.0 MK,CC-0,extracted
албумот,0.998,0.441,Албумот може да го преслушате и преземете овде.,Common Voice 17.0 MK,CC-0,extracted
си,0.988,0.181,Работи си ја работата.,Common Voice 17.0 MK,CC-0,extracted
песни,0.999,0.402,Сега моите песни ја бараат мојата глава.,Common Voice 17.0 MK,CC-0,extracted
сега,0.999,0.301,Со тебе сум сега.,Common Voice 17.0 MK,CC-0,extracted
ја,0.845,0.181,Тие ја јадеа тортата.,Common Voice 17.0 MK,CC-0,extracted
нејзината,0.891,0.542,Нејзината насмевка ми го освои срцето.,Common Voice 17.0 MK,CC-0,extracted
овој,0.498,0.340,Претходниот дел е достапен на овој линк.,Common Voice 17.0 MK,CC-0,extracted
речиси,0.918,0.422,Речиси и да не постои филм без бакнеж.,Common Voice 17.0 MK,CC-0,extracted
постојат,0.728,0.482,Не сум сигурен дека постојат уште правила.,Common Voice 17.0 MK,CC-0,extracted
начин,0.991,0.362,Најбезбеден начин на превоз е со авион.,Common Voice 17.0 MK,CC-0,extracted
нив,0.742,0.201,Во секој од нив по еден мртовец.,Common Voice 17.0 MK,CC-0,extracted
музиката,0.962,0.583,Тој е огромен фан на рок музиката.,Common Voice 17.0 MK,CC-0,extracted
му,0.906,0.161,Многу му се налутив.,Common Voice 17.0 MK,CC-0,extracted
потоа,0.999,0.381,"Потоа гола, влажна, му седна во скутот.",Common Voice 17.0 MK,CC-0,extracted
една,0.994,0.300,Една по една куќите му се отуѓуваат.,Common Voice 17.0 MK,CC-0,extracted
треба,0.950,0.341,Сепак треба да е убава.,Common Voice 17.0 MK,CC-0,extracted
неговиот,0.992,0.544,Неговиот вујко го дава во дом.,Common Voice 17.0 MK,CC-0,extracted
само,0.992,0.322,Имам само еден клиент.,Common Voice 17.0 MK,CC-0,extracted
дека,0.999,0.241,Мислам дека има повеќе.,Common Voice 17.0 MK,CC-0,extracted
беше,0.929,0.382,Моја грешка беше.,Common Voice 17.0 MK,CC-0,extracted
нема,0.809,0.301,Нема интернет.,Common Voice 17.0 MK,CC-0,extracted
лудилото,0.993,0.561,"После сѐ што направивме за него господинот трча, а овде лудилото допрва почнува.",Common Voice 17.0 MK,CC-0,extracted
после,0.972,0.341,После ме однесоа на некое друго место.,Common Voice 17.0 MK,CC-0,extracted
ова,0.695,0.181,Го сфаќаш ова многу лично.,Common Voice 17.0 MK,CC-0,extracted
имаат,0.973,0.380,Правоаголниците имаат четири линии.,Common Voice 17.0 MK,CC-0,extracted
крајот,0.935,0.442,Небото на крајот од патот е бистро и сино.,Common Voice 17.0 MK,CC-0,extracted
која,0.789,0.261,Ова е соба во која престојуваат книги.,Common Voice 17.0 MK,CC-0,extracted
може,0.995,0.261,Учи само не може да научи.,Common Voice 17.0 MK,CC-0,extracted
освен,0.585,0.361,Освен тоа не треба да бидете овде.,Common Voice 17.0 MK,CC-0,extracted
преку,1.000,0.301,Агентот тајно влезе во амбасадата преку покривот.,Common Voice 17.0 MK,CC-0,extracted
