word,confidence,duration,sentence,audio_file,source,license
а,0.9998,0.100,"Зборовите живеат во читателот, а читателовиот дом се наоѓа во зборовите.",common_voice_mk_39779752.mp3,Common Voice 17.0 MK,CC-0
абаџиев,0.8471,0.662,Романот „Пустина“ од Ѓорѓи Абаџиев е заснован на оваа историска случка.,common_voice_mk_39748665.mp3,Common Voice 17.0 MK,CC-0
абецедарот,0.9953,0.782,Неговото име ќе го најдеш во абецедарот.,common_voice_mk_40042259.mp3,Common Voice 17.0 MK,CC-0
авангардата,0.9970,0.723,"Авангардата тоа го потврдува и ја антиципира постмодерната која, пак, е критика на модерната.",common_voice_mk_39767779.mp3,Common Voice 17.0 MK,CC-0
авантура,0.7899,0.583,Мислам дека си имал авантура со неа.,common_voice_mk_39643024.mp3,Common Voice 17.0 MK,CC-0
авион,0.9993,0.422,Најбезбеден начин на превоз е со авион.,common_voice_mk_39725938.mp3,Common Voice 17.0 MK,CC-0
австралиските,0.9983,0.762,Австралиските филмови се снимаат со мал буџет од пет до десет милиони долари.,common_voice_mk_39748421.mp3,Common Voice 17.0 MK,CC-0
автобиографска,0.9811,0.883,Неговата проза се одликува со силна автобиографска обоеност.,common_voice_mk_39776382.mp3,Common Voice 17.0 MK,CC-0
автобуси,0.9918,0.601,Свечено украсените автобуси кружат по малите плоштади.,common_voice_mk_39845026.mp3,Common Voice 17.0 MK,CC-0
автобуска,0.9008,0.562,На само неколку метри има автобуска станица.,common_voice_mk_39768911.mp3,Common Voice 17.0 MK,CC-0
автобусот,0.9997,0.642,Нозе под автобусот и мирис на лубеница.,common_voice_mk_39702206.mp3,Common Voice 17.0 MK,CC-0
автоматизација,0.9929,1.002,Објаснувам подробно таму - што значи автоматизација.,common_voice_mk_39852229.mp3,Common Voice 17.0 MK,CC-0
автоматски,0.9933,0.582,"Дали ако пишуваш за комунизмот, тоа автоматски значи дека капитализмот ти е драг?",common_voice_mk_39658659.mp3,Common Voice 17.0 MK,CC-0
автомобили,0.9996,0.682,Го сфативме тоа дури кога се најдовме заглавени во куп автомобили.,common_voice_mk_39790340.mp3,Common Voice 17.0 MK,CC-0
автор,0.9842,0.361,Автор е на повеќе драми и сценарија за играни филмови.,common_voice_mk_39775170.mp3,Common Voice 17.0 MK,CC-0
автори,0.8081,0.361,Куросава е еден од најзначајните и најоригиналните автори во јапонската и светската кинематографија.,common_voice_mk_39925091.mp3,Common Voice 17.0 MK,CC-0
авторите,0.9530,0.481,"Судејќи според сликите кои може да ги погледнете подолу, авторите успеале во намерата.",common_voice_mk_39714634.mp3,Common Voice 17.0 MK,CC-0
авторки,0.9986,0.461,Споредлив е и односот кон фантастичното на двете авторки.,common_voice_mk_39714900.mp3,Common Voice 17.0 MK,CC-0
авторот,0.9981,0.441,Авторот брзо и возбудливо го ниша читателот во својата наративна лулашка.,common_voice_mk_39709385.mp3,Common Voice 17.0 MK,CC-0
агентот,0.9980,0.502,Агентот тајно влезе во амбасадата преку покривот.,common_voice_mk_39825324.mp3,Common Voice 17.0 MK,CC-0
аговина,0.5765,0.564,Тој сега ужива во својата аговина.,common_voice_mk_39874579.mp3,Common Voice 17.0 MK,CC-0
агол,0.7322,0.301,Во истиот агол како и на горниот кат.,common_voice_mk_39729200.mp3,Common Voice 17.0 MK,CC-0
адаптирањето,0.9153,0.821,Адаптирањето или преуредувањето не чинеше скапо.,common_voice_mk_39790307.mp3,Common Voice 17.0 MK,CC-0
адреса,0.9894,0.441,Пребарувачот ја штити вашата имејл адреса со генерирање на нова за една употреба,common_voice_mk_39839671.mp3,Common Voice 17.0 MK,CC-0
аеродром,0.9251,0.521,Во Аеродром се обновуваат спортските игралишта,common_voice_mk_39839607.mp3,Common Voice 17.0 MK,CC-0
академија,0.9952,0.562,"Родителите ме тераа да студирам нешто сериозно, а не музичка академија.",common_voice_mk_39790345.mp3,Common Voice 17.0 MK,CC-0
аквариумот,0.9160,0.623,Девојчето се сместува на колена во задниот дел од аквариумот.,common_voice_mk_39787652.mp3,Common Voice 17.0 MK,CC-0
ако,0.9999,0.220,"Ако нема многу ветер, може да одиме на пливање во морето.",common_voice_mk_39825248.mp3,Common Voice 17.0 MK,CC-0
акордите,0.8007,0.621,"Пијанистите ги тркалалале акордите, наместо да ги свират во еден здив.",common_voice_mk_39814748.mp3,Common Voice 17.0 MK,CC-0
актерите,0.9992,0.522,Обично за вакви карактерни улоги актерите се размислуваат.,common_voice_mk_39825387.mp3,Common Voice 17.0 MK,CC-0
актерка,0.9965,0.561,"Кога денес се зборува за оваа француска актерка, се спомнуваат нејзините извонредни театарски улоги.",common_voice_mk_39701453.mp3,Common Voice 17.0 MK,CC-0
активности,0.9998,0.622,Гасовите и вулканските активности ја создале првобитната атмосфера.,common_voice_mk_39709518.mp3,Common Voice 17.0 MK,CC-0
актуелните,0.9007,0.601,"Документарната програма, пак, и годинава е посветена на актуелните светски проблеми.",common_voice_mk_39792977.mp3,Common Voice 17.0 MK,CC-0
актуелно,0.9658,0.561,"Во секој случај, останува актуелно прашањето дали може да им се верува.",common_voice_mk_39706730.mp3,Common Voice 17.0 MK,CC-0
албански,0.9997,0.521,"Негови дела се преведени на словенечки, полски, албански и турски јазик.",common_voice_mk_39726045.mp3,Common Voice 17.0 MK,CC-0
албум,0.9998,0.341,Станува збор за одличен албум и настан во ова невреме за целокупната македонска култура.,common_voice_mk_40000700.mp3,Common Voice 17.0 MK,CC-0
